,ID,fq,comp,A,B,C,TMIN,TMAX
289,291,C7H6O2,BENZOIC-ACID,7.454,1820.0,147.96,132,287.0
290,292,C7H7F,P-FLUOROTOLUENE,6.99426,1374.055,217.4,68,155.0
291,293,C7H8,TOLUENE,6.95464,1344.8,219.482,6,136.0
292,294,C7H8,"1,3,5-CYCLOHEPTATRIENE",6.97433,1376.84,220.75,0,65.0
293,295,C7H8O,M-CRESOL,7.508,1856.36,199.07,97,207.0
294,296,C7H8O,O-CRESOL,6.9117,1435.5,165.16,97,207.0
295,297,C7H8O,P-CRESOL,7.0351,1511.08,161.86,97,207.0
296,298,C7H12,1-HEPTYNE,6.68593,1216.6,220.0,14,142.0
297,299,C7H14,1-HEPTENE,6.90069,1257.505,219.179,-6,118.0
298,300,C7H14,CYCLOHEPTANE,6.8539,1331.57,216.36,57,162.0
299,301,C7H14,ETHYLCYCLOPENTANE,6.88709,1298.599,220.675,-3,129.0
300,302,C7H14,"1,1-DIMETHYLCYCLOPENTANE",6.81724,1219.474,221.946,-12,113.0
301,303,C7H14,"C-1,2-DIMETHYLCYCLOPENTANE",6.85008,1269.14,220.209,-3,125.0
302,304,C7H14,"T-1,2-DIMETHYLCYCLOPENTANE",6.84422,1242.748,221.686,-9,117.0
303,305,C7H14,"C-1,3-DIMETHYLCYCLOPENTANE",6.83715,1237.456,222.005,-10,116.0
304,306,C7H14,"T-1,3-DIMETHYLCYCLOPENTANE",6.83817,1240.023,221.621,-9,117.0
305,307,C7H14,METHYLCYCLOHEXANE,6.823,1270.763,221.416,-3,127.0
306,308,C7H14O,HEPTANAL,5.47587,686.453,111.817,12,155.0
307,309,C7H16,N-HEPTANE,6.89385,1264.37,216.636,-2,123.0
308,310,C7H16,2-METHYLHEXANE,6.87318,1236.026,219.545,-9,115.0
309,311,C7H16,3-METHYLHEXANE,6.86764,1240.196,219.223,-8,117.0
310,312,C7H16,3-ETHYLPENTANE,6.87564,1251.827,219.887,-7,118.0
311,313,C7H16,"2,2-DIMETHYLPENTANE",6.8148,1190.033,223.303,-19,104.0
312,314,C7H16,"2,3-DIMETHYLPENTANE",6.85382,1238.017,221.823,-10,115.0
313,315,C7H16,"2,4-DIMETHYLPENTANE",6.82621,1192.041,221.634,-17,105.0
